Country,Number_of_stores,First_store_opening_date,Number_of_stores_per_million_pop,col,scaled_col,animal
Gibraltar,1,13/08/1999,496.278,496,41,person
Andorra,5,3/07/1984,63.886,64,6,person
Monaco,2,20/11/1992,52.219,52,4,person
United States of America,13375,15/05/1940,40.807,41,3,person
Canada,1458,3/06/1967,39.179,39,3,person
Australia,981,30/05/1971,39.163,39,3,person
New Zealand,166,7/06/1976,33.87,34,3,person
Qatar,63,13/12/1995,25.711,26,2,person
Liechtenstein,1,3/05/1996,26.239,26,2,person
Singapore,136,20/10/1979,24.233,24,2,person
